Ship,ship_id,Total_Deaths,TotalBattles,TotalFrags,TotalWins
Cataluña,4181636528,314100,443864,306667,229527
Galicia,4184782256,153623,192142,137613,96049
Baleares,4183733680,173216,225452,145919,116137
Navarra,4186879408,18960,29464,46318,14025
Méndez Núñez,4187927984,24733,42774,79096,22194
Almirante Cervera,4185830832,74298,101189,140547,51974
Castilla,4179539376,376408,601616,475157,305407
Andalucía,4180587952,307620,449065,282290,226411
Santander,4180587856,247449,347975,203679,177023
San Martín,4179539280,290616,459460,362175,244930
Ignacio Allende,4181636432,289827,405943,258422,209036
Coronel Bolognesi,4182685008,270267,361835,242375,183488
Almirante Cochrane,4183733584,232929,326330,241733,172786
La Argentina,4184782160,229229,299104,261040,155865
Córdoba,4185830736,61242,86034,122971,45193
Vicente Guerrero,4186879312,25818,39668,57263,18952
Almirante Barroso,4187927888,9828,18263,40336,10084
,,,,,

