Value1,Value2,Value3,Value5
1,Bad,0.0,"rgb(254,14,0)"
2,Below Average,0.46,"rgb(254,121,3)"
3,Average,0.49,"rgb(248,244,0)"
4,Good,0.52,"rgb(96,255,0)"
5,Very Good,0.55,"rgb(2,201,179)"
6,Great,0.58,"rgb(0,255,255)"
7,Unicum,0.61,"rgb(163,53,238)"

